"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Marauding Sphinx","U","U","99825","3.39","28254","3.97","145933","86.5%","54.0%","23675","55.3%","41819","59.1%","65494","57.7%","80031","50.8%","6.9pp"
"Metamorphic Blast","U","U","153335","5.19","26492","7.07","111878","70.9%","53.5%","18319","52.2%","31526","58.3%","49845","56.0%","61471","51.2%","4.8pp"
"Nimble Brigand","U","U","119811","4.03","25646","5.10","123249","82.3%","52.0%","21536","53.3%","34057","54.2%","55593","53.9%","67446","50.4%","3.5pp"
"Outlaw Stitcher","U","U","115142","3.88","26947","4.82","129470","82.4%","51.7%","21079","51.3%","35656","55.2%","56735","53.7%","72377","50.0%","3.8pp"
"Peerless Ropemaster","U","C","476740","7.99","57740","11.44","74048","21.6%","52.8%","11432","51.9%","20779","56.4%","32211","54.8%","41702","51.2%","3.6pp"
"Phantom Interference","U","C","416868","5.98","64802","8.31","258711","67.2%","53.5%","44887","54.9%","71517","57.5%","116404","56.5%","141130","50.9%","5.6pp"
"Plan the Heist","U","U","165255","5.78","27411","7.90","97587","59.5%","54.1%","15985","53.2%","27391","58.7%","43376","56.7%","53949","51.9%","4.7pp"
"Razzle-Dazzler","U","C","444540","7.06","53823","10.13","125649","40.3%","49.6%","21956","48.9%","34157","51.8%","56113","50.7%","69288","48.7%","2.0pp"
"Seize the Secrets","U","C","460208","7.24","57741","10.50","117492","34.6%","51.6%","20032","50.8%","32590","54.9%","52622","53.4%","64576","50.1%","3.3pp"
"Shackle Slinger","U","U","172777","6.41","19426","9.46","37495","33.3%","48.5%","6284","47.6%","10110","51.6%","16394","50.1%","21043","47.2%","2.9pp"
"Shifting Grift","U","U","190924","7.73","20387","11.50","7663","6.3%","46.2%","1207","42.8%","2093","48.1%","3300","46.1%","4339","46.0%","0.1pp"
"Slickshot Lockpicker","U","U","115633","3.83","30852","4.68","156542","85.7%","53.2%","26339","50.6%","44255","58.6%","70594","55.6%","85173","51.1%","4.5pp"
"Slickshot Vault-Buster","U","C","479009","8.28","55474","11.82","50526","15.5%","48.7%","8532","46.8%","13696","50.3%","22228","48.9%","28188","48.5%","0.4pp"
"Spring Splasher","U","C","467038","7.65","56886","10.91","102803","30.9%","49.3%","18003","50.1%","27016","50.1%","45019","50.1%","57517","48.7%","1.5pp"
"Step Between Worlds","U","R","82102","6.32","10117","9.66","1926","3.2%","46.2%","299","","535","50.7%","834","47.5%","1087","45.1%","2.4pp"
"Stoic Sphinx","U","R","23696","1.98","12320","1.98","67357","90.0%","55.3%","11363","59.8%","18917","60.8%","30280","60.4%","36584","50.8%","9.6pp"
"Stop Cold","U","C","439480","6.58","55278","9.63","163571","50.3%","51.5%","26355","48.2%","45517","56.2%","71872","53.3%","91157","50.1%","3.2pp"
"Take the Fall","U","C","450745","6.89","72309","9.45","239629","55.8%","53.3%","40761","52.7%","67729","57.6%","108490","55.8%","130157","51.1%","4.7pp"
"This Town Ain't Big Enough","U","U","157496","5.36","28814","7.26","113766","67.5%","52.1%","17895","49.8%","32090","56.7%","49985","54.3%","63323","50.2%","4.0pp"
"Three Steps Ahead","U","R","33004","2.64","11306","2.87","58480","86.0%","54.0%","9580","53.7%","16756","60.9%","26336","58.3%","31795","50.3%","8.0pp"
"Visage Bandit","U","U","147601","4.97","24752","6.82","97562","67.4%","51.5%","16115","49.9%","26669","54.2%","42784","52.6%","54541","50.6%","2.0pp"
"Ambush Gigapede","B","C","439433","6.37","72980","8.88","273222","62.2%","54.4%","41379","53.6%","71784","58.3%","113163","56.6%","159306","52.7%","3.9pp"
"Binding Negotiation","B","U","166004","5.67","26583","8.01","90474","57.1%","53.3%","15603","53.9%","23589","55.4%","39192","54.8%","51068","52.2%","2.6pp"
"Blacksnag Buzzard","B","C","456946","7.00","54309","10.37","102404","31.8%","51.4%","17735","49.5%","25210","51.4%","42945","50.6%","59419","51.9%","-1.2pp"
"Blood Hustler","B","U","83943","2.84","27382","3.31","151013","92.5%","53.8%","27089","54.6%","39459","56.8%","66548","55.9%","84311","52.2%","3.8pp"
"Boneyard Desecrator","B","C","461498","7.20","53391","10.70","87770","27.7%","50.9%","13898","48.9%","21713","52.5%","35611","51.1%","52204","50.7%","0.4pp"
"Caustic Bronco","B","R","22396","1.85","13221","1.88","74089","92.6%","55.1%","13394","63.1%","18795","56.0%","32189","59.0%","41559","52.0%","6.9pp"
"Consuming Ashes","B","C","265243","3.61","79327","4.32","435511","90.7%","55.0%","71420","54.6%","115388","59.7%","186808","57.8%","247204","52.8%","4.9pp"
"Corrupted Conviction","B","C","475579","7.86","56589","11.39","62030","18.3%","52.6%","9964","51.8%","15360","53.0%","25324","52.5%","36653","52.6%","-0.1pp"
"Desert's Due","B","C","293312","3.89","85563","4.79","465873","89.7%","55.1%","81080","55.1%","121980","59.1%","203060","57.5%","261224","53.1%","4.4pp"
"Desperate Bloodseeker","B","C","361367","4.73","80552","6.28","426279","87.6%","55.0%","75853","56.7%","108284","56.9%","184137","56.8%","241572","53.5%","3.3pp"
"Fake Your Own Death","B","C","463120","7.18","63217","10.35","128379","33.9%","53.7%","20415","53.3%","32187","56.5%","52602","55.3%","75561","52.5%","2.8pp"
